duration,opt,NumberOfEvaluations,GreedySolution,Run,Solver,AbsoluteImprovement,RelativeImprovement,Szenario
941,577336.507063457,1022000,247854.539273618,11,GA,41962.221575061005,0.16930180781856485,MEP-Big
267,584214.248265123,110000,247854.539273618,11,SA,51417.942442282016,0.20745209102472556,MEP-Big
832,573485.571078067,846000,247854.539273618,12,GA,41961.02291522999,0.16929697167622695,MEP-Big
258,587346.1133269819,110000,247854.539273618,12,SA,49545.27268087599,0.19989657169917996,MEP-Big
552,568862.1328906671,394000,247854.539273618,13,GA,39244.78803470501,0.15833798384213124,MEP-Big
254,570169.382961042,110000,247854.539273618,13,SA,38151.32196156602,0.15392625881847993,MEP-Big
264,560627.3527203139,100000,247854.539273618,14,GA,33521.90128908798,0.1352482846887933,MEP-Big
266,569944.9736955471,110000,247854.539273618,14,SA,41630.42973597601,0.16796315233112705,MEP-Big
370,564227.477852592,180000,247854.539273618,15,GA,36626.93659518703,0.1477759362508704,MEP-Big
259,585049.213851235,110000,247854.539273618,15,SA,46508.40470463698,0.18764394971719367,MEP-Big
446,564788.1346924971,256000,247854.539273618,16,GA,34921.91001160603,0.14089679420014226,MEP-Big
243,583382.514689981,110000,247854.539273618,16,SA,43958.06557915799,0.1773542889631352,MEP-Big
337,567849.640944299,158000,247854.539273618,17,GA,40040.10572063198,0.161546792073999,MEP-Big
259,585258.009520286,110000,247854.539273618,17,SA,46062.24537085302,0.18584386433206615,MEP-Big
663,564281.120512057,650000,247854.539273618,18,GA,38162.811928404,0.15397261652034672,MEP-Big
262,581038.203896382,110000,247854.539273618,18,SA,44117.873937456025,0.17799905568302818,MEP-Big
277,563063.624158291,112000,247854.539273618,19,GA,34241.78407225202,0.1381527414127806,MEP-Big
257,585153.657953098,110000,247854.539273618,19,SA,46300.80024149301,0.18680634366102705,MEP-Big
840,578007.5567862301,869000,247854.539273618,20,GA,41684.48571379503,0.16818124790435093,MEP-Big
269,562452.2651390301,110000,247854.539273618,20,SA,41377.41332422002,0.16694232611387275,MEP-Big
605,566058.281420719,464000,247854.539273618,21,GA,35302.680896291015,0.14243306174561832,MEP-Big
263,599966.4642880689,110000,247854.539273618,21,SA,52221.588851393,0.21069450252731983,MEP-Big
603,570635.571909455,481000,247854.539273618,22,GA,40205.89393854901,0.1622156852820996,MEP-Big
252,577816.947146677,110000,247854.539273618,22,SA,43730.165640633,0.17643479828447792,MEP-Big
663,570426.9610223561,539000,247854.539273618,23,GA,39606.18157612803,0.15979607108347105,MEP-Big
254,579668.767689637,110000,247854.539273618,23,SA,42045.60750307402,0.16963823872782877,MEP-Big
857,575094.28670655,884000,247854.539273618,24,GA,40121.261416249006,0.16187422483296668,MEP-Big
261,585154.920228149,110000,247854.539273618,24,SA,47813.35092867902,0.1929089177418521,MEP-Big
349,560927.33345419,187000,247854.539273618,25,GA,36400.92903574501,0.14686408061125059,MEP-Big
254,567115.724677085,110000,247854.539273618,25,SA,37033.045128987025,0.14941443169658697,MEP-Big
1053,580512.93987014,1283000,247854.539273618,26,GA,44013.42191608003,0.17757763099707283,MEP-Big
258,580544.869744773,110000,247854.539273618,26,SA,46393.76427659401,0.1871814186359436,MEP-Big
457,563288.503681135,274000,247854.539273618,27,GA,34467.13832277103,0.1390619611962046,MEP-Big
270,576331.575990063,110000,247854.539273618,27,SA,45067.97283548702,0.18183234798752027,MEP-Big
716,571503.5853125791,625000,247854.539273618,28,GA,38139.51948508501,0.15387864025754655,MEP-Big
251,576392.4181160701,110000,247854.539273618,28,SA,44132.14021045403,0.17805661473778595,MEP-Big
460,567646.0845879801,306000,247854.539273618,29,GA,39381.778544042,0.15889068910925472,MEP-Big
